Geo Point;Geo Shape;Eindeutiger Identifikator des Unfalls;Beschreibung zum Unfalltyp;Beschreibung der Unfallschwerekategorie;Unfalljahr;Unfallmonat;Unfallstunde;Wochentag;Strassenart;Fussgängerbeteiligung;Fahrradbeteiligung;Motorradbeteiligung
47.55089665164317, 7.587661105071538;"{""coordinates"": [7.587661105071538, 47.55089665164317], ""type"": ""Point""}";29435;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2013;7;20;6 Samstag;Nebenstrasse;False;False;False
47.53926582937173, 7.595929707371674;"{""coordinates"": [7.595929707371674, 47.53926582937173], ""type"": ""Point""}";29442;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2013;4;22;3 Mittwoch;Nebenstrasse;False;False;False
47.55958633070218, 7.612385429466966;"{""coordinates"": [7.612385429466966, 47.55958633070218], ""type"": ""Point""}";29448;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2024;12;23;4 Donnerstag;Nebenstrasse;False;True;False
47.56291347844138, 7.5718026882170175;"{""coordinates"": [7.571802688217018, 47.56291347844138], ""type"": ""Point""}";29453;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2015;9;21;4 Donnerstag;Hauptstrasse;False;False;False
47.571217842824105, 7.5979508602966455;"{""coordinates"": [7.597950860296645, 47.571217842824105], ""type"": ""Point""}";29469;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2015;9;10;3 Mittwoch;Autobahn;False;False;False
47.55581411968474, 7.614937310170834;"{""coordinates"": [7.614937310170834, 47.55581411968474], ""type"": ""Point""}";29477;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2014;6;3;5 Freitag;Nebenstrasse;False;True;False
47.56415107325644, 7.609051742604243;"{""coordinates"": [7.609051742604243, 47.56415107325644], ""type"": ""Point""}";29478;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2014;2;6;5 Freitag;Autobahn;False;False;False
47.571938168957324, 7.597341677317628;"{""coordinates"": [7.597341677317628, 47.571938168957324], ""type"": ""Point""}";29479;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2015;6;16;3 Mittwoch;Nebenstrasse;False;False;False
47.549843773694505, 7.588136403149361;"{""coordinates"": [7.588136403149361, 47.549843773694505], ""type"": ""Point""}";29486;Schleuder- oder Selbstunfall;3 Unfall mit Schwerverletzten;2012;9;3;7 Sonntag;Nebenstrasse;False;True;False
47.550070465157965, 7.5866890413292145;"{""coordinates"": [7.586689041329215, 47.550070465157965], ""type"": ""Point""}";29498;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2013;6;17;3 Mittwoch;Nebenstrasse;False;True;False
