station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BAS;01.01.1864 00:00;5;;
BAS;02.01.1864 00:00;6.8;;
BAS;03.01.1864 00:00;0;;
BAS;04.01.1864 00:00;0;;
BAS;05.01.1864 00:00;0;;
BAS;06.01.1864 00:00;0;;
BAS;07.01.1864 00:00;0;;
BAS;08.01.1864 00:00;0;;
BAS;09.01.1864 00:00;0;;
BAS;10.01.1864 00:00;0;;
BAS;11.01.1864 00:00;0;;
BAS;12.01.1864 00:00;0;;
BAS;13.01.1864 00:00;0;;
BAS;14.01.1864 00:00;0;;
BAS;15.01.1864 00:00;0;;
BAS;16.01.1864 00:00;0;;
BAS;17.01.1864 00:00;0;;
BAS;18.01.1864 00:00;0;;
BAS;19.01.1864 00:00;0;;
BAS;20.01.1864 00:00;0;;
BAS;21.01.1864 00:00;0;;
BAS;22.01.1864 00:00;0;;
BAS;23.01.1864 00:00;0;;
BAS;24.01.1864 00:00;0;;
BAS;25.01.1864 00:00;4;;
BAS;26.01.1864 00:00;0;;
BAS;27.01.1864 00:00;0.1;;
BAS;28.01.1864 00:00;3.4;;
BAS;29.01.1864 00:00;5.3;;
BAS;30.01.1864 00:00;0;;
BAS;31.01.1864 00:00;0;;
BAS;01.02.1864 00:00;0;;
BAS;02.02.1864 00:00;0;;
BAS;03.02.1864 00:00;0;;
BAS;04.02.1864 00:00;4.8;;
BAS;05.02.1864 00:00;0.1;;
BAS;06.02.1864 00:00;0.2;;
BAS;07.02.1864 00:00;1;;
BAS;08.02.1864 00:00;0.5;;
BAS;09.02.1864 00:00;0;;
BAS;10.02.1864 00:00;1.4;;
BAS;11.02.1864 00:00;0;;
BAS;12.02.1864 00:00;0;;
BAS;13.02.1864 00:00;3.2;;
BAS;14.02.1864 00:00;0;;
BAS;15.02.1864 00:00;0;;
BAS;16.02.1864 00:00;0;;
BAS;17.02.1864 00:00;7.2;;
BAS;18.02.1864 00:00;1.1;;
BAS;19.02.1864 00:00;1.1;;
BAS;20.02.1864 00:00;0;;
BAS;21.02.1864 00:00;0;;
BAS;22.02.1864 00:00;1.6;;
BAS;23.02.1864 00:00;0;;
BAS;24.02.1864 00:00;0;;
BAS;25.02.1864 00:00;0;;
BAS;26.02.1864 00:00;0.3;;
BAS;27.02.1864 00:00;0;;
BAS;28.02.1864 00:00;0;;
BAS;29.02.1864 00:00;0;;
BAS;01.03.1864 00:00;0.7;;
BAS;02.03.1864 00:00;0;;
BAS;03.03.1864 00:00;5.1;;
BAS;04.03.1864 00:00;0;;
BAS;05.03.1864 00:00;0;;
BAS;06.03.1864 00:00;7.3;;
BAS;07.03.1864 00:00;0.9;;
BAS;08.03.1864 00:00;0;;
BAS;09.03.1864 00:00;10;;
BAS;10.03.1864 00:00;9.3;;
BAS;11.03.1864 00:00;0;;
BAS;12.03.1864 00:00;2;;
BAS;13.03.1864 00:00;0;;
BAS;14.03.1864 00:00;0;;
BAS;15.03.1864 00:00;0;;
BAS;16.03.1864 00:00;0;;
BAS;17.03.1864 00:00;0;;
BAS;18.03.1864 00:00;0;;
BAS;19.03.1864 00:00;0;;
BAS;20.03.1864 00:00;0;;
BAS;21.03.1864 00:00;0;;
BAS;22.03.1864 00:00;6.9;;
BAS;23.03.1864 00:00;29.4;;
BAS;24.03.1864 00:00;0;;
BAS;25.03.1864 00:00;0;;
BAS;26.03.1864 00:00;5.1;;
BAS;27.03.1864 00:00;0.3;;
BAS;28.03.1864 00:00;0;;
BAS;29.03.1864 00:00;0.9;;
BAS;30.03.1864 00:00;0;;
BAS;31.03.1864 00:00;0;;
BAS;01.04.1864 00:00;0;;
BAS;02.04.1864 00:00;7.7;;
BAS;03.04.1864 00:00;0.9;;
BAS;04.04.1864 00:00;1;;
BAS;05.04.1864 00:00;19.3;;
BAS;06.04.1864 00:00;0;;
BAS;07.04.1864 00:00;0;;
BAS;08.04.1864 00:00;0;;
BAS;09.04.1864 00:00;0;;
BAS;10.04.1864 00:00;0;;
BAS;11.04.1864 00:00;0;;
BAS;12.04.1864 00:00;0;;
BAS;13.04.1864 00:00;0;;
BAS;14.04.1864 00:00;0;;
BAS;15.04.1864 00:00;0;;
BAS;16.04.1864 00:00;0;;
BAS;17.04.1864 00:00;12.3;;
BAS;18.04.1864 00:00;0;;
BAS;19.04.1864 00:00;0;;
BAS;20.04.1864 00:00;0;;
BAS;21.04.1864 00:00;0;;
BAS;22.04.1864 00:00;0;;
BAS;23.04.1864 00:00;0;;
BAS;24.04.1864 00:00;0;;
BAS;25.04.1864 00:00;0;;
BAS;26.04.1864 00:00;0;;
BAS;27.04.1864 00:00;0;;
BAS;28.04.1864 00:00;0;;
BAS;29.04.1864 00:00;14.3;;
BAS;30.04.1864 00:00;0;;
BAS;01.05.1864 00:00;0.5;;
BAS;02.05.1864 00:00;0;;
BAS;03.05.1864 00:00;1;;
BAS;04.05.1864 00:00;4.5;;
BAS;05.05.1864 00:00;18;;
BAS;06.05.1864 00:00;0;;
BAS;07.05.1864 00:00;0;;
BAS;08.05.1864 00:00;2.2;;
BAS;09.05.1864 00:00;0;;
BAS;10.05.1864 00:00;12.2;;
BAS;11.05.1864 00:00;0;;
BAS;12.05.1864 00:00;0;;
BAS;13.05.1864 00:00;0;;
BAS;14.05.1864 00:00;1.2;;
BAS;15.05.1864 00:00;25.2;;
BAS;16.05.1864 00:00;1.7;;
BAS;17.05.1864 00:00;0;;
BAS;18.05.1864 00:00;0;;
BAS;19.05.1864 00:00;0;;
BAS;20.05.1864 00:00;0;;
BAS;21.05.1864 00:00;0;;
BAS;22.05.1864 00:00;0;;
BAS;23.05.1864 00:00;0.3;;
